OrderID,OrderDate,CustomerID,ProductID,SalespersonID,Quantity,UnitPrice,DiscountPct,GrossSales,DiscountAmount,NetSales,UnitCost,TotalCost,Profit,PaymentMethod,Channel,Status,ProfitMarginPct
ORD000013,2025-11-13,C1058,P021,S016,3,1766.6,0.066,5299.8,349.79,4950.01,1229.15,3687.45,1262.56,Credit Card,Retail Store,Completed,0.25506211098563436
ORD000014,2025-01-11,C0538,P045,S029,3,942.01,0.0799,2826.03,225.8,2600.23,680.67,2042.01,558.22,UPI,Partner,Completed,0.21468100898766648
ORD000015,2025-10-16,C0936,P026,S023,5,704.62,0.0194,3523.1,68.35,3454.75,479.79,2398.95,1055.8,Credit Card,Partner,Completed,0.30560822056588755
ORD000016,2025-11-08,C0371,P023,S007,1,1430.69,0.0635,1430.69,90.85,1339.84,822.45,822.45,517.39,Cash,Partner,Completed,0.3861580487222355
ORD000017,2025-02-02,C0086,P010,S015,2,524.4,0.0335,1048.8,35.13,1013.67,361.04,722.08,291.59,Credit Card,Online,Completed,0.2876577189815226
ORD000018,2024-08-08,C0160,P053,S007,2,326.32,0.062,652.64,40.46,612.18,218.75,437.5,174.68,Wallet,Online,Completed,0.2853409128034239
ORD000019,2025-08-17,C0425,P044,S006,5,1027.24,0.0833,5136.2,427.85,4708.35,751.51,3757.55,950.8,Credit Card,Online,Completed,0.201939108180148
ORD000020,2024-06-30,C1130,P013,S004,2,1414.83,0.0557,2829.66,157.61,2672.05,1040.3,2080.6,591.45,Bank Transfer,Online,Completed,0.22134690593364645
ORD000021,2024-11-02,C0275,P053,S004,1,326.32,0.0294,326.32,9.59,316.73,218.75,218.75,97.98,Cash,Partner,Completed,0.3093486565844726
ORD000022,2025-06-05,C0258,P054,S010,3,194.76,0.1583,584.28,92.49,491.79,129.78,389.34,102.45,Bank Transfer,Retail Store,Completed,0.20832062465686574
ORD000023,2025-01-30,C0963,P037,S022,3,646.6,0.0365,1939.8,70.8,1869.0,359.35,1078.05,790.95,Wallet,Partner,Completed,0.4231942215088283
ORD000024,2024-01-04,C0974,P056,S028,3,226.11,0.0619,678.33,41.99,636.34,174.8,524.4,111.94,Bank Transfer,Online,Completed,0.1759122481692177
ORD000025,2024-10-07,C0527,P059,S024,2,317.16,0.0365,634.32,23.15,611.17,198.68,397.36,213.81,Credit Card,Online,Completed,0.3498371975064221
ORD000026,2024-08-02,C0533,P012,S024,1,868.81,0.0742,868.81,64.47,804.34,519.75,519.75,284.59,Wallet,Partner,Completed,0.3538180371484695
ORD000027,2025-09-01,C1083,P059,S030,2,317.16,0.0481,634.32,30.51,603.81,198.68,397.36,206.45,UPI,Online,Completed,0.34191219092098507
ORD000028,2025-02-23,C0113,P036,S019,1,1185.47,0.0604,1185.47,71.6,1113.87,729.16,729.16,384.71,Wallet,Partner,Completed,0.34538141793925686
ORD000029,2024-04-10,C0257,P003,S010,3,113.15,0.0607,339.45,20.6,318.85,71.8,215.4,103.45,UPI,Online,Completed,0.3244472322408656
ORD000030,2025-06-04,C0329,P014,S012,2,1356.52,0.0157,-2713.04,-42.59,-2670.45,791.88,-1583.76,-1086.69,Credit Card,Retail Store,Returned,0.40693141605347416
ORD000031,2025-07-26,C0777,P035,S022,8,639.5,0.0531,5116.0,271.66,4844.34,497.95,3983.6,860.74,Bank Transfer,Online,Completed,0.17767951877861587
ORD000032,2024-11-04,C0051,P034,S020,2,1552.92,0.0458,3105.84,142.25,2963.59,1185.29,2370.58,593.01,Credit Card,Online,Completed,0.20009852914876888
ORD000033,2025-10-19,C0221,P040,S009,1,435.66,0.0896,435.66,39.04,396.62,236.04,236.04,160.58,Bank Transfer,Direct Sales,Completed,0.4048711613130957
ORD000034,2025-05-24,C0783,P029,S007,4,1700.21,0.0569,6800.84,386.97,6413.87,1135.13,4540.52,1873.35,UPI,Direct Sales,Completed,0.2920779498181285
ORD000035,2024-03-03,C0596,P030,S024,1,470.33,0.0294,470.33,13.83,456.5,247.61,247.61,208.89,UPI,Direct Sales,Completed,0.4575903614457831
ORD000036,2025-09-24,C0222,P007,S001,2,1219.14,0.0867,2438.28,211.4,2226.88,857.09,1714.18,512.7,Cash,Online,Completed,0.2302324328208076
ORD000037,2024-08-13,C0943,P054,S020,1,194.76,0.0381,194.76,7.42,187.34,129.78,129.78,57.56,Bank Transfer,Retail Store,Completed,0.3072488523540088
ORD000038,2024-04-14,C1078,P002,S006,2,97.66,0.0316,195.32,6.17,189.15,53.33,106.66,82.49,UPI,Retail Store,Completed,0.4361089082738567
ORD000039,2025-02-28,C0198,P018,S022,3,478.25,0.0851,1434.75,122.1,1312.65,252.6,757.8,554.85,Credit Card,Retail Store,Completed,0.42269454919437777
ORD000040,2024-09-11,C0128,P026,S030,3,704.62,0.0156,2113.86,32.98,2080.88,479.79,1439.37,641.51,Bank Transfer,Direct Sales,Completed,0.3082878397601015
ORD000041,2025-03-04,C1033,P017,S016,2,227.77,0.0659,455.54,30.02,425.52,164.13,328.26,97.26,UPI,Retail Store,Completed,0.22856739988719688
ORD000042,2025-03-09,C0987,P046,S016,1,530.17,0.0412,530.17,21.84,508.33,305.04,305.04,203.29,UPI,Partner,Completed,0.39991737650738696
ORD000043,2024-07-25,C0227,P012,S002,3,868.81,0.1099,2606.43,286.45,2319.98,519.75,1559.25,760.73,Wallet,Online,Completed,0.32790368882490367
ORD000044,2024-01-28,C0558,P058,S023,5,996.5,0.0385,4982.5,191.83,4790.67,611.43,3057.15,1733.52,UPI,Online,Completed,0.3618533524538321
ORD000045,2025-11-12,C1158,P050,S003,2,539.83,0.1466,-1079.66,-158.28,-921.38,265.17,-530.34,-391.04,Credit Card,Retail Store,Returned,0.4244068679589312
ORD000046,2024-12-01,C1040,P057,S022,1,330.14,0.0248,330.14,8.19,321.95,176.98,176.98,144.97,Bank Transfer,Online,Completed,0.4502873116943625
ORD000047,2025-08-10,C0215,P032,S028,2,723.04,0.0348,1446.08,50.32,1395.76,392.4,784.8,610.96,Credit Card,Retail Store,Completed,0.43772568349859575
ORD000048,2025-09-19,C1136,P049,S019,2,1241.18,0.0658,2482.36,163.34,2319.02,708.15,1416.3,902.72,Credit Card,Online,Completed,0.38926788039775423
ORD000049,2024-03-09,C0855,P029,S006,1,1700.21,0.0058,1700.21,9.86,1690.35,1135.13,1135.13,555.22,Credit Card,Retail Store,Completed,0.32846451918241787
ORD000050,2025-05-27,C1181,P048,S026,3,1530.52,0.0319,4591.56,146.47,4445.09,910.11,2730.33,1714.76,Credit Card,Retail Store,Completed,0.3857649676384505
ORD000051,2024-06-15,C0425,P010,S029,1,524.4,0.0901,524.4,47.25,477.15,361.04,361.04,116.11,Credit Card,Online,Completed,0.24334066855286599
ORD000052,2025-12-30,C0318,P036,S010,1,1185.47,0.0253,1185.47,29.99,1155.48,729.16,729.16,426.32,Wallet,Direct Sales,Completed,0.36895489320455566
ORD000053,2025-01-02,C0360,P002,S008,2,97.66,0.0347,195.32,6.78,188.54,53.33,106.66,81.88,Wallet,Online,Completed,0.4342845019624483
ORD000054,2024-09-07,C0936,P037,S021,4,646.6,0.0577,2586.4,149.24,2437.16,359.35,1437.4,999.76,Credit Card,Online,Completed,0.4102151684747821
ORD000055,2025-11-16,C0958,P014,S001,5,1356.52,0.0257,6782.6,174.31,6608.29,791.88,3959.4,2648.89,Credit Card,Online,Completed,0.4008434859850279
ORD000056,2024-06-18,C0920,P010,S003,1,524.4,0.0224,524.4,11.75,512.65,361.04,361.04,151.61,UPI,Online,Completed,0.29573783282941585
ORD000057,2024-03-30,C0902,P040,S001,2,435.66,0.0702,871.32,61.17,810.15,236.04,472.08,338.07,Bank Transfer,Online,Completed,0.41729309387150526
ORD000058,2025-07-14,C0198,P001,S008,1,1537.68,0.0498,1537.68,76.58,1461.1,884.5,884.5,576.6,Bank Transfer,Online,Completed,0.3946341797276025
ORD000059,2025-03-21,C0398,P041,S007,10,742.53,0.0769,7425.3,571.01,6854.29,568.5,5685.0,1169.29,UPI,Partner,Completed,0.17059243189301881
ORD000060,2024-10-20,C0590,P055,S011,3,768.97,0.0958,2306.91,221.0,2085.91,396.96,1190.88,895.03,Bank Transfer,Direct Sales,Completed,0.4290837092683769
ORD000061,2024-05-29,C0242,P021,S010,1,1766.6,0.0276,1766.6,48.76,1717.84,1229.15,1229.15,488.69,Credit Card,Direct Sales,Completed,0.2844793461556373
ORD000062,2024-05-11,C0429,P005,S028,6,137.01,0.0949,822.06,78.01,744.05,96.66,579.96,164.09,UPI,Retail Store,Completed,0.22053625428398632
ORD000063,2025-03-08,C0611,P009,S028,2,343.79,0.0737,687.58,50.67,636.91,253.79,507.58,129.33,Credit Card,Direct Sales,Completed,0.2030585169019171
ORD000064,2024-02-28,C0006,P009,S029,1,343.79,0.0718,343.79,24.68,319.11,253.79,253.79,65.32,Bank Transfer,Online,Completed,0.20469430603867003
ORD000065,2024-07-17,C1108,P018,S020,1,478.25,0.0203,478.25,9.71,468.54,252.6,252.6,215.94,Credit Card,Online,Completed,0.46087847355615313
ORD000066,2024-08-02,C0710,P056,S011,2,226.11,0.0569,452.22,25.73,426.49,174.8,349.6,76.89,Credit Card,Online,Completed,0.18028558700086755
ORD000067,2025-07-14,C0360,P005,S020,1,137.01,0.0449,137.01,6.15,130.86,96.66,96.66,34.2,Bank Transfer,Partner,Completed,0.2613480055020633
ORD000068,2025-04-16,C1165,P016,S017,3,1526.06,0.1024,4578.18,468.81,4109.37,1074.12,3222.36,887.01,Credit Card,Retail Store,Completed,0.21585060483723784
ORD000069,2024-09-03,C1197,P034,S014,8,1552.92,0.0267,12423.36,331.7,12091.66,1185.29,9482.32,2609.34,Credit Card,Online,Completed,0.2157966730787998
ORD000070,2025-01-16,C1044,P057,S004,5,330.14,0.131,0.0,0.0,0.0,176.98,0.0,0.0,Credit Card,Partner,Cancelled,0.38311280900129663
ORD000071,2024-08-26,C0503,P004,S001,5,1131.75,0.044,5658.75,248.98,5409.76,578.0,2890.0,2519.77,Bank Transfer,Direct Sales,Completed,0.4657822158469137
ORD000072,2025-01-01,C0227,P021,S021,4,1766.6,0.0445,7066.4,314.45,6751.95,1229.15,4916.6,1835.35,Credit Card,Retail Store,Completed,0.2718251764305127
ORD000073,2024-06-16,C0109,P055,S005,2,768.97,0.0983,1537.94,151.18,1386.76,396.96,793.92,592.84,Bank Transfer,Retail Store,Completed,0.42750007211053104
ORD000074,2025-07-13,C0743,P050,S002,1,539.83,0.0655,539.83,35.36,504.47,265.17,265.17,239.3,UPI,Online,Completed,0.4743592284972347
ORD000075,2024-02-20,C0811,P037,S010,2,646.6,0.0546,1293.2,70.61,1222.59,359.35,718.7,503.89,UPI,Direct Sales,Completed,0.4121496167971274
ORD000076,2025-09-01,C1111,P040,S018,1,435.66,0.0759,435.66,33.07,402.59,236.04,236.04,166.55,Bank Transfer,Retail Store,Completed,0.4136963163516233
ORD000077,2025-12-28,C0786,P044,S009,5,1027.24,0.0299,5136.2,153.57,4982.63,751.51,3757.55,1225.08,Wallet,Direct Sales,Completed,0.24587015291121353
ORD000078,2025-11-19,C0228,P014,S018,2,1356.52,0.0319,2713.04,86.55,2626.49,791.88,1583.76,1042.73,Bank Transfer,Partner,Completed,0.39700512851752723
ORD000079,2025-01-14,C0852,P027,S005,5,1301.36,0.058,6506.8,377.39,6129.41,781.74,3908.7,2220.71,UPI,Retail Store,Completed,0.3623040390510669
ORD000080,2025-04-18,C0828,P049,S012,1,1241.18,0.0237,1241.18,29.42,1211.76,708.15,708.15,503.61,Credit Card,Retail Store,Completed,0.41560209942562887
ORD000081,2024-03-20,C0379,P012,S025,1,868.81,0.0709,868.81,61.6,807.21,519.75,519.75,287.46,Credit Card,Online,Completed,0.35611550897535954
ORD000082,2025-11-27,C0385,P027,S016,5,1301.36,0.0549,6506.8,357.22,6149.58,781.74,3908.7,2240.88,Cash,Retail Store,Completed,0.3643956172616667
ORD000083,2025-01-01,C0113,P056,S024,4,226.11,0.0393,904.44,35.54,868.9,174.8,699.2,169.7,Bank Transfer,Direct Sales,Completed,0.19530440787202208
ORD000084,2025-04-05,C0291,P034,S002,3,1552.92,0.0572,4658.76,266.48,4392.28,1185.29,3555.87,836.41,Wallet,Direct Sales,Completed,0.19042729516333204
ORD000085,2025-06-22,C1129,P004,S002,1,1131.75,0.0542,1131.75,61.34,1070.41,578.0,578.0,492.41,Credit Card,Direct Sales,Completed,0.46001999233938395
ORD000086,2025-03-27,C0291,P043,S021,2,1566.69,0.0708,3133.38,221.84,2911.54,1215.35,2430.7,480.84,Bank Transfer,Retail Store,Completed,0.16514971458403455
ORD000087,2025-04-08,C0677,P044,S016,1,1027.24,0.0917,1027.24,94.2,933.04,751.51,751.51,181.53,Wallet,Retail Store,Completed,0.19455757523793193
ORD000088,2025-04-22,C0060,P051,S004,6,382.6,0.015,2295.6,34.43,2261.17,241.65,1449.9,811.27,Bank Transfer,Partner,Completed,0.3587832847596598
ORD000089,2025-02-23,C0106,P002,S003,1,97.66,0.0865,97.66,8.45,89.21,53.33,53.33,35.88,Credit Card,Direct Sales,Completed,0.4021970631095169
ORD000090,2025-12-07,C0623,P042,S020,2,1788.05,0.0908,3576.1,324.71,3251.39,1041.65,2083.3,1168.09,Credit Card,Online,Completed,0.3592586555288661
ORD000091,2024-08-01,C0089,P042,S002,8,1788.05,0.0434,14304.4,620.81,13683.59,1041.65,8333.2,5350.39,Cash,Online,Completed,0.39100776915999386
ORD000092,2025-01-03,C0742,P032,S002,3,723.04,0.0799,2169.12,173.31,1995.81,392.4,1177.2,818.61,Credit Card,Direct Sales,Completed,0.4101642941963414
ORD000093,2024-04-23,C1143,P002,S020,3,97.66,0.0971,292.98,28.45,264.53,53.33,159.99,104.54,Cash,Direct Sales,Completed,0.39519147166672974
ORD000094,2025-05-17,C0900,P058,S012,5,996.5,0.0129,4982.5,64.27,4918.23,611.43,3057.15,1861.08,Credit Card,Direct Sales,Completed,0.3784044259825181
ORD000095,2025-09-27,C0445,P022,S013,3,852.6,0.0461,2557.8,117.91,2439.89,478.71,1436.13,1003.76,Credit Card,Online,Completed,0.411395595703085
ORD000096,2025-08-10,C1007,P019,S019,2,1494.66,0.0732,2989.32,218.82,2770.5,958.38,1916.76,853.74,Bank Transfer,Direct Sales,Completed,0.3081537628586898
ORD000097,2024-11-06,C0306,P026,S023,1,704.62,0.081,-704.62,-57.07,-647.55,479.79,-479.79,-167.76,Cash,Direct Sales,Returned,0.2590687977762335
ORD000098,2025-04-13,C0615,P020,S025,2,695.94,0.0193,1391.88,26.86,1365.02,374.13,748.26,616.76,Cash,Online,Completed,0.451832207586702
ORD000099,2025-12-08,C0202,P036,S001,1,1185.47,0.0536,1185.47,63.54,1121.93,729.16,729.16,392.77,Bank Transfer,Online,Completed,0.3500842298539124
ORD000100,2024-02-13,C0944,P018,S007,2,478.25,0.1126,-956.5,-107.7,-848.8,252.6,-505.2,-343.6,UPI,Retail Store,Returned,0.40480678605089543
ORD000101,2025-02-18,C1047,P052,S019,1,495.75,0.0895,495.75,44.37,451.38,297.9,297.9,153.48,Wallet,Retail Store,Completed,0.34002392662501657
ORD000102,2025-11-28,C1114,P050,S013,2,539.83,0.0647,1079.66,69.85,1009.81,265.17,530.34,479.47,Credit Card,Online,Completed,0.47481209336409824
ORD000103,2024-09-02,C0471,P014,S004,1,1356.52,0.0266,1356.52,36.08,1320.44,791.88,791.88,528.56,Bank Transfer,Direct Sales,Completed,0.4002908121535245
ORD000104,2024-03-24,C1117,P020,S016,1,695.94,0.0566,695.94,39.39,656.55,374.13,374.13,282.42,Cash,Online,Completed,0.4301576422206992
ORD000105,2024-07-25,C0979,P045,S018,3,942.01,0.0806,2826.03,227.78,2598.25,680.67,2042.01,556.24,Credit Card,Direct Sales,Completed,0.2140825555662465
ORD000106,2024-05-30,C0309,P024,S015,10,739.09,0.0486,7390.9,359.2,7031.7,542.12,5421.2,1610.5,Credit Card,Online,Completed,0.2290342306981242
ORD000107,2025-10-29,C0733,P047,S011,3,943.05,0.0609,2829.15,172.3,2656.85,455.15,1365.45,1291.4,Credit Card,Retail Store,Completed,0.48606432429380664
ORD000108,2025-06-11,C0536,P047,S005,1,943.05,0.031,943.05,29.23,913.82,455.15,455.15,458.67,Wallet,Online,Completed,0.5019259810465956
ORD000109,2024-06-13,C0376,P057,S024,2,330.14,0.0325,660.28,21.46,638.82,176.98,353.96,284.86,Bank Transfer,Retail Store,Completed,0.445915907454369
ORD000110,2024-05-24,C0499,P031,S014,1,203.5,0.0407,203.5,8.28,195.22,120.45,120.45,74.77,Credit Card,Retail Store,Completed,0.3830037905952259
ORD000111,2024-02-06,C0636,P052,S011,1,495.75,0.0029,495.75,1.44,494.31,297.9,297.9,196.41,UPI,Online,Completed,0.39734174910481274
ORD000112,2024-11-28,C0142,P036,S018,6,1185.47,0.1839,7112.82,1308.05,5804.77,729.16,4374.96,1429.81,Bank Transfer,Direct Sales,Completed,0.24631639151938833
ORD000113,2025-02-06,C1076,P015,S008,2,835.85,0.0983,0.0,0.0,0.0,410.04,0.0,0.0,UPI,Online,Cancelled,0.4559530838480267
ORD000114,2025-02-17,C1094,P046,S009,1,530.17,0.0574,530.17,30.43,499.74,305.04,305.04,194.7,Credit Card,Online,Completed,0.3896025933485412
ORD000115,2024-02-14,C0260,P007,S012,4,1219.14,0.0785,4876.56,382.81,4493.75,857.09,3428.36,1065.39,UPI,Online,Completed,0.2370826147426982
ORD000116,2025-02-05,C0378,P049,S021,1,1241.18,0.0457,1241.18,56.72,1184.46,708.15,708.15,476.31,Bank Transfer,Partner,Completed,0.40213261739526873
ORD000117,2024-07-24,C1063,P023,S025,1,1430.69,0.0218,1430.69,31.19,1399.5,822.45,822.45,577.05,Bank Transfer,Retail Store,Completed,0.4123258306538049
ORD000118,2024-03-02,C0348,P029,S024,3,1700.21,0.0106,5100.63,54.07,5046.56,1135.13,3405.39,1641.17,Credit Card,Online,Completed,0.325205684664405
ORD000119,2025-02-23,C0828,P041,S018,2,742.53,0.0714,1485.06,106.03,1379.03,568.5,1137.0,242.03,Bank Transfer,Retail Store,Completed,0.17550742188349783
ORD000120,2025-04-12,C0506,P004,S011,6,1131.75,0.0359,6790.5,243.78,6546.72,578.0,3468.0,3078.72,Bank Transfer,Partner,Completed,0.4702690813109465
ORD000121,2024-01-19,C0382,P031,S005,3,203.5,0.0903,-610.5,-55.13,-555.37,120.45,-361.35,-194.02,Credit Card,Partner,Returned,0.349352683796388
ORD000122,2024-12-30,C0425,P018,S030,1,478.25,0.0349,478.25,16.69,461.56,252.6,252.6,208.96,Credit Card,Retail Store,Completed,0.4527255394748245
ORD000123,2024-10-26,C0322,P045,S029,2,942.01,0.0443,1884.02,83.46,1800.56,680.67,1361.34,439.22,Cash,Retail Store,Completed,0.24393522015372998
ORD000124,2024-01-07,C0250,P031,S025,4,203.5,0.062,814.0,50.47,763.53,120.45,481.8,281.73,Wallet,Retail Store,Completed,0.36898353699265257
ORD000125,2025-03-03,C0180,P047,S009,3,943.05,0.0116,2829.15,32.82,2796.33,455.15,1365.45,1430.88,Credit Card,Online,Completed,0.5116992629625259
ORD000126,2024-04-26,C1004,P036,S008,2,1185.47,0.0285,2370.94,67.57,2303.37,729.16,1458.32,845.05,Bank Transfer,Partner,Completed,0.3668754911282165
ORD000127,2025-08-02,C0029,P018,S018,2,478.25,0.1048,956.5,100.24,856.26,252.6,505.2,351.06,Credit Card,Direct Sales,Completed,0.40999229206082266
ORD000128,2025-05-21,C0738,P010,S022,3,524.4,0.0817,1573.2,128.53,1444.67,361.04,1083.12,361.55,Wallet,Partner,Completed,0.25026476634802414
ORD000129,2025-06-29,C0187,P007,S017,2,1219.14,0.0084,2438.28,20.48,2417.8,857.09,1714.18,703.62,Wallet,Retail Store,Completed,0.2910166266854165
ORD000130,2025-12-06,C0055,P038,S013,1,1120.56,0.0258,1120.56,28.91,1091.65,686.73,686.73,404.92,Bank Transfer,Direct Sales,Completed,0.3709247469427014
ORD000131,2024-11-20,C0878,P045,S023,2,942.01,0.0855,1884.02,161.08,1722.94,680.67,1361.34,361.6,Credit Card,Retail Store,Completed,0.20987382033036556
ORD000132,2024-02-24,C0514,P028,S006,2,996.84,0.054,1993.68,107.66,1886.02,567.6,1135.2,750.82,Bank Transfer,Online,Completed,0.3980975811497227
ORD000133,2024-02-11,C0017,P059,S024,5,317.16,0.1072,1585.8,170.0,1415.8,198.68,993.4,422.4,Wallet,Online,Completed,0.2983472241842068
ORD000134,2024-10-23,C0088,P018,S028,1,478.25,0.0351,478.25,16.79,461.46,252.6,252.6,208.86,Bank Transfer,Retail Store,Completed,0.4526069431803407
ORD000135,2024-08-18,C1082,P031,S007,1,203.5,0.0377,203.5,7.67,195.83,120.45,120.45,75.38,Credit Card,Direct Sales,Completed,0.3849257008629934
ORD000136,2025-03-28,C0704,P054,S002,5,194.76,0.112,973.8,109.07,864.73,129.78,648.9,215.83,Credit Card,Partner,Completed,0.24959235830837373
ORD000137,2025-01-28,C0725,P009,S002,1,343.79,0.0711,343.79,24.44,319.35,253.79,253.79,65.56,UPI,Retail Store,Completed,0.20529199937372788
ORD000138,2025-06-05,C1178,P043,S012,1,1566.69,0.047,1566.69,73.63,1493.06,1215.35,1215.35,277.71,UPI,Online,Completed,0.18600056260297643
ORD000139,2024-12-23,C1070,P016,S002,1,1526.06,0.0798,1526.06,121.78,1404.28,1074.12,1074.12,330.16,UPI,Direct Sales,Completed,0.23510980716096508
ORD000140,2025-03-19,C0895,P040,S022,6,435.66,0.0691,2613.96,180.62,2433.34,236.04,1416.24,1017.1,Bank Transfer,Online,Completed,0.4179851562050515
ORD000141,2024-05-07,C0452,P025,S026,1,779.29,0.1553,779.29,121.02,658.27,485.42,485.42,172.85,Wallet,Online,Completed,0.2625822230999438
ORD000142,2025-11-21,C0427,P037,S024,2,646.6,0.0192,1293.2,24.83,1268.37,359.35,718.7,549.67,Bank Transfer,Direct Sales,Completed,0.4333672351127826
ORD000143,2025-02-08,C0118,P030,S001,3,470.33,0.0901,1410.99,127.13,1283.86,247.61,742.83,541.03,Bank Transfer,Online,Completed,0.42140887635723523
ORD000144,2025-01-26,C0688,P047,S002,1,943.05,0.0404,943.05,38.1,904.95,455.15,455.15,449.8,Bank Transfer,Retail Store,Completed,0.4970440355820763
ORD000145,2024-07-11,C1022,P058,S005,3,996.5,0.0226,2989.5,67.56,2921.94,611.43,1834.29,1087.65,Bank Transfer,Retail Store,Completed,0.3722355695188813
ORD000146,2025-08-26,C0580,P002,S025,3,97.66,0.0243,292.98,7.12,285.86,53.33,159.99,125.87,Bank Transfer,Online,Completed,0.44032043657734554
ORD000147,2024-03-18,C0251,P005,S011,1,137.01,0.0836,137.01,11.45,125.56,96.66,96.66,28.9,Credit Card,Online,Completed,0.23016884358075818
ORD000148,2024-03-25,C0403,P042,S029,1,1788.05,0.0144,1788.05,25.75,1762.3,1041.65,1041.65,720.65,Credit Card,Partner,Completed,0.40892583555580775
ORD000149,2024-01-30,C0921,P030,S027,2,470.33,0.0935,940.66,87.95,852.71,247.61,495.22,357.49,Credit Card,Direct Sales,Completed,0.4192398353484772
ORD000150,2025-12-25,C0200,P019,S014,3,1494.66,0.0138,4483.98,61.88,4422.1,958.38,2875.14,1546.96,Bank Transfer,Partner,Completed,0.349824743899957
ORD000151,2024-02-18,C1170,P014,S008,5,1356.52,0.0043,6782.6,29.17,6753.43,791.88,3959.4,2794.03,UPI,Online,Completed,0.41372013924776
ORD000152,2024-05-24,C1075,P027,S017,1,1301.36,0.0806,1301.36,104.89,1196.47,781.74,781.74,414.73,Bank Transfer,Direct Sales,Completed,0.34662799735889743
ORD000153,2024-03-09,C0914,P030,S013,2,470.33,0.0436,940.66,41.01,899.65,247.61,495.22,404.43,Credit Card,Online,Completed,0.44954148835658314
ORD000154,2024-02-27,C0320,P045,S008,1,942.01,0.0111,942.01,10.46,931.55,680.67,680.67,250.88,UPI,Online,Completed,0.2693145832215125
ORD000155,2025-11-27,C0199,P014,S015,2,1356.52,0.067,2713.04,181.77,2531.27,791.88,1583.76,947.51,Bank Transfer,Partner,Completed,0.3743219806658318
ORD000156,2025-07-27,C0145,P031,S007,2,203.5,0.064,407.0,26.05,380.95,120.45,240.9,140.05,Wallet,Retail Store,Completed,0.3676335477096732
ORD000157,2025-04-23,C1083,P036,S015,4,1185.47,0.0276,4741.88,130.88,4611.0,729.16,2916.64,1694.36,UPI,Online,Completed,0.3674604207330297
ORD000158,2025-03-20,C0143,P039,S009,1,1595.53,0.0477,1595.53,76.11,1519.42,1171.41,1171.41,348.01,Credit Card,Direct Sales,Completed,0.22904134472364454
ORD000159,2024-10-22,C1124,P050,S014,1,539.83,0.1116,539.83,60.25,479.58,265.17,265.17,214.41,Bank Transfer,Online,Completed,0.447078693857125
ORD000160,2025-11-08,C1050,P030,S015,3,470.33,0.0304,1410.99,42.89,1368.1,247.61,742.83,625.27,UPI,Partner,Completed,0.4570353044368102
ORD000161,2024-06-19,C0526,P038,S011,2,1120.56,0.1044,2241.12,233.97,2007.15,686.73,1373.46,633.69,Bank Transfer,Online,Completed,0.3157163141768179
ORD000162,2025-07-28,C0122,P047,S004,1,943.05,0.0755,943.05,71.2,871.85,455.15,455.15,416.7,Bank Transfer,Retail Store,Completed,0.4779491885071973
ORD000163,2024-05-26,C0265,P011,S014,1,837.2,0.0582,837.2,48.73,788.47,404.51,404.51,383.96,Credit Card,Direct Sales,Completed,0.4869684325338947
ORD000164,2025-04-28,C1031,P017,S030,6,227.77,0.089,1366.62,121.63,1244.99,164.13,984.78,260.21,Credit Card,Online,Completed,0.209005694824858
